"file","field","current","package","proposal","status","rationale"
"ProjectSettings.asset","activeInputHandler","1 Input System only","expects Both","keep 1","approved-design","production adapter will use Unity Input System"
"ProjectSettings.asset","scripting defines","active target includes three INVECTOR symbols after reload","package editor scripts add symbols","preserve verified symbols","validated","required package compilation contract"
"TagManager.asset","layers 8-12","Ground;WorldBlocker;BrawlerHitbox;Projectile;VFX","Player;Enemy;CompanionAI;Triggers;StopMove","keep Brawl meanings","approved-design","serialized Brawl assets already depend on these indices"
"TagManager.asset","layers 13 and 15","empty","mixed/undeclared upstream uses","keep unnamed","approved-phase2","independent census rejected blanket Player/CompanionAI meanings"
"TagManager.asset","layer 23","InvectorPlayer (applied)","unused by package scan","keep InvectorPlayer","applied-validated-phase2","project-owned dormant controller root only"
"TagManager.asset","custom tags","empty","26 package tags","add none","approved-phase2","retained static pilot needs only built-in Player/Untagged"
"InputManager.asset","existing axes","current Unity/Brawl axes","package replacement set","keep unchanged","approved-design","production stays Input System-only"
"InputManager.asset","24 package-only axes","absent","present","smoke-test-only additive merge","deferred","not needed by production adapter"
"DynamicsManager.asset","serializedVersion","13","10","keep 13","approved-design","package would discard Unity 6 fields"
"DynamicsManager.asset","m_DefaultSolverIterations","6","15","keep 6","approved-design","pilot can tune its Rigidbody locally if measured"
"DynamicsManager.asset","m_DefaultSolverVelocityIterations","1","1","keep 1","approved-design","no difference"
"DynamicsManager.asset","m_ReuseCollisionCallbacks","1","0","keep 1","approved-design","preserve current project behavior"
"DynamicsManager.asset","collision matrix","all current pairs enabled","85 disabled pairs","keep current","deferred","translate only measured semantic exclusions"
"DynamicsManager.asset","cloth fields","Unity 6 schema-13 values","older schema values/omissions","keep current","approved-design","avoid regression and schema loss"
