"asset_scope","object_or_component","property","source_raw","source_semantics","proposed_raw","target_semantics","disposition"
"Phase2 Cinder pilot","controller root/capsule","m_Layer","8","upstream Player","23","InvectorPlayer","approved root-only project disposition"
"vShooterMelee_NoInventory","105 GameObjects","m_Layer","15","11 physical + 2 sensors + 10 holders + 8 renderers + 74 bones/helpers","","no single target","not copied; reject blanket remap"
"vShooterMelee_NoInventory","GameObjects","m_Layer","2","Ignore Raycast","2","Ignore Raycast","keep"
"motor/ragdoll","controller","groundLayer","1","Default","256","Brawl Ground layer 8","pilot proposal"
"controller","auto-crouch","autoCrouchLayer","1","Default","512","Brawl WorldBlocker layer 9","pilot proposal"
"controller","movement","stopMoveLayer","0","disabled","0","disabled","keep disabled initially"
"camera/shooter","obstruction","obstacleLayer/blockAimLayer/layerOfObstacles","1","Default","512","Brawl WorldBlocker layer 9","only if subsystem retained"
"shooter","damage","damageLayer","32769","Default + upstream BodyPart15","0","disabled","approved Phase2 dormant value; future damage mapping unapproved"
"melee","recoil","hitRecoilLayer","1","Default","0","disabled","keep inactive with Invector damage"
"camera/UI/colliders","broad masks","-1","Everything","-1","Everything","never mechanically remap"
"package-wide","look targets/particles/collectables/ammo","m_Layer","13","mixed/undeclared","","no single target","reject global rewrite; keep project slot 13 unnamed"
"Brawl current","world mask","LayerMask","512","WorldBlocker","512","WorldBlocker","do not reinterpret as upstream Enemy"
"Brawl current","ground+world mask","LayerMask","768","Ground + WorldBlocker","768","Ground + WorldBlocker","do not reinterpret as upstream Player + Enemy"
