"kind","source_index","source_name","target_index","target_name","disposition","scope"
"layer","8","Player","23","InvectorPlayer","approved-phase2-root-only","project-owned dormant controller root/capsule"
"layer","9","Enemy","","","defer","team/damage subsystem not retained"
"layer","10","CompanionAI","","","defer","AI locomotion not retained"
"layer","11","Triggers","","","defer","package actions not retained"
"layer","12","StopMove","","","defer","stopMoveLayer remains disabled"
"layer","13","<unnamed>","","","reject-global-remap","mixed look targets, particles, collectables, ammunition"
"layer","14","HeadTrack","","","defer","head tracking not retained"
"layer","15","BodyPart/mixed","","","reject-global-remap","11 physical nodes plus sensors, holders, renderers, and 74 bones/helpers"
"layer","16","BlockAIRayCast","","","defer","AI visibility not retained"
"layer","17","Pushable","","","defer","push subsystem not retained"
"layer","18","CoverPoint","","","defer","cover subsystem not retained"
"layer","31","PostProcess","","","defer","package post-processing not retained"
"tag","","Player","","Player","built-in-phase2-root","not a custom TagManager addition"
"tag","","Untagged","","Untagged","built-in-phase2-children","authored Cinder hierarchy"
"tag","","AutoCrouch","","","eliminated-phase3a-controller-override","absent live and serialized; project trigger overrides bypass both stock CompareTag calls"
"tag","","Ignore Ragdoll","","","unused-phase3a-nongating","serialized custom-tag list remains empty; live presence or absence may vary and is neither required nor forbidden; adapter bypasses vendor Start helper"
"tag","","Weapon","","","defer","weapon template children not copied"
"tag","","PlayerUI","","","defer","template UI not copied"
"tag","","Enemy","","","defer","never use as Brawl team authority"
"tag","","CompanionAI","","","defer","never use as Brawl team authority"
"tag","","Action/interaction/sample tags","","","defer","owning systems not retained"
